arm,rate,seed,throughput_rps,tokens_per_sec,completed,ttft_mean_ms,ttft_p90_ms,ttft_p95_ms,ttft_p99_ms,e2e_mean_ms,e2e_p90_ms,e2e_p95_ms,e2e_p99_ms,itl_mean_ms,itl_p90_ms,itl_p95_ms,itl_p99_ms,timeouts,preemptions,disagg_count,sat_level,sat_score,goodput_rps,slo_attainment
"agg-4xtp4","10","123",11.755661042360412,3512.9994344716024,2928,58.499631830601096,70.11630000000002,115.08210000000003,129.24704000000003,7204.845373292349,11974.1566,13362.14475,16234.906810000002,23.991726802054906,27.804,28.776,33.723,0,0,0,"STABLE",0,11.755661042360412,1
"agg-4xtp4","10","42",10.745141326293627,3270.8186702030816,2744,58.0851111516035,69.1115,115.3932,128.12062,7225.062633017493,11839.581600000003,13338.00415,15801.170670000003,23.619662776912275,27.434,28.158,33.247,0,0,0,"STABLE",0,10.745141326293627,1
"agg-4xtp4","10","777",11.410549190604183,3398.3785086616645,2880,57.68657777777778,68.61399999999999,114.02779999999997,129.10521,7052.4176836805555,11610.5116,12935.815799999997,15321.932530000004,23.56233017766569,27.488,28.203,32.963,0,0,0,"STABLE",0,11.410549190604183,1
"agg-4xtp4","100","123",18.45039189854731,5568.383626157274,4000,145.04222475,274.5996999999999,772.1103999999984,1113.2433499999993,12312.59191775,21852.621,24437.94445,28439.71092999999,40.4476441159164,64.311,69.604,73.353,0,0,0,"STABLE",0,13.524137261635179,0.733
"agg-4xtp4","100","42",18.188110110491223,5538.3386400024365,4000,132.53254975000002,189.71509999999992,673.5402499999999,973.392229999998,12585.78055825,21977.011099999996,24479.477149999995,28378.65713999998,41.02911915605517,64.037,69.912,73.594,0,0,0,"STABLE",0,13.054516031805075,0.71775
"agg-4xtp4","100","777",18.56542078800056,5526.23884801861,4000,132.94919475,263.33829999999995,594.8338499999991,1010.2345799999999,12158.15351275,21423.4535,23613.104549999993,27102.072839999986,40.53227843714922,63.214,69.129,72.891,0,0,0,"STABLE",0,13.408875164133404,0.72225
"agg-4xtp4","20","123",16.909139355510703,5095.162692005719,3844,63.01933714880333,74.16490000000002,104.34799999999997,145.75789000000003,8399.465063735692,13679.271500000003,15405.054900000001,18336.476350000004,27.7554050143228,31.103,32.704,38.077,0,0,0,"STABLE",0,16.909139355510703,1
"agg-4xtp4","20","42",15.670717125694726,4769.828636725617,3620,61.61168867403315,71.5817,112.0152,145.48049,8132.914560497237,13218.4033,14695.054900000001,17434.27523,26.602172273567465,28.673,30.021,36.521,0,0,0,"STABLE",0,15.670717125694726,1
"agg-4xtp4","20","777",16.840429605240015,5009.470915045504,3780,62.470515343915345,73.80460000000001,106.61419999999995,143.28576000000004,8159.948632275133,13415.320600000001,14902.249349999995,17477.818570000003,27.31063826814022,30.338,31.558,36.863,0,0,0,"STABLE",0,16.840429605240015,1
"agg-4xtp4","200","123",18.415998615190567,5558.003630060359,4000,478.37385825,1956.3831999999986,2303.8321499999997,2480.04437,12968.433785250001,23810.7993,26799.370049999994,29982.62418,41.519808402841726,68.99,73.515,76.183,0,0,0,"STABLE",0,12.918823028556183,0.7015
"agg-4xtp4","200","42",18.201295305191106,5542.353574640434,4000,419.24098200000003,1815.9631,2153.3961,2457.10329,13336.408669749999,24063.865999999998,26774.851799999993,30184.328279999994,42.557668452479504,69.813,75.374,77.39,0,0,0,"STABLE",0,12.25857238804621,0.6735
"agg-4xtp4","200","777",18.588747926953786,5533.182474180845,4000,467.13049524999997,1916.6464999999998,2224.5583499999993,2481.3868799999987,12785.4789055,23014.551,25475.686549999995,28778.91694999999,41.52041680374702,68.249,72.869,75.469,0,0,0,"STABLE",0,12.705409208072913,0.6835
"agg-4xtp4","5","123",8.00808117259899,2396.8568960528105,2264,55.456470406360424,64.0569,114.16945,123.2144,6353.214908127208,10342.8374,11580.0975,13941.877389999978,21.109221387937136,22.751,23.487,28.032,0,0,0,"STABLE",0,8.00808117259899,1
"agg-4xtp4","5","42",7.222868213949588,2217.3894681577026,2092,55.419938336520076,65.4196,114.73729999999998,124.22174000000003,6446.011900095603,10412.265800000001,11436.070449999994,13855.76353,20.88204182502972,22.931,23.659,28.092,0,0,0,"STABLE",0,7.222868213949588,1
"agg-4xtp4","5","777",7.929938932481604,2334.5790135906173,2224,55.30235431654676,63.55870000000001,114.16699999999999,123.96239,6198.9774375,10260.7021,11379.55675,13242.18161,20.936894694899642,22.809,23.377,27.798,0,0,0,"STABLE",0,7.929938932481604,1
"agg-4xtp4","50","123",18.387957127429843,5549.540624929709,4000,76.01353925000001,106.9647,132.51549999999978,213.80378999999985,11011.881257,18961.489,21327.132299999997,25226.435059999993,36.35299753576261,51.829,55.169,59.915,0,0,0,"STABLE",0,16.82038378231645,0.91475
"agg-4xtp4","50","42",18.339019843117477,5584.291144043762,4000,76.098495,104.1926,125.32834999999996,210.51431999999974,11101.33333125,18701.992899999997,20856.3505,25084.39000999999,36.324019054985406,50.385,53.486,57.377,0,0,0,"STABLE",0,17.412899341040045,0.9495
"agg-4xtp4","50","777",18.54703682014318,5520.766620994279,4000,75.83569250000001,107.66789999999999,126.02654999999996,197.8508099999998,10900.5921345,18732.467099999998,20693.5853,24242.356409999993,36.485774909577536,51.346,54.903,58.084,0,0,0,"STABLE",0,17.14673554022237,0.9245
"agg-4xtp4","500","123",18.45470071100656,5569.684038683913,4000,843.600665,3682.3208,3816.2137000000002,4092.3571599999987,13335.780647500002,25196.290999999997,28218.339199999995,31273.619119999996,41.526856389397715,68.99,73.515,76.183,0,0,0,"STABLE",0,12.904449472171338,0.69925
"agg-4xtp4","500","42",18.23869297586577,5553.7412869033,4000,830.13326525,3606.1616,3726.4906499999997,3899.4709199999998,13749.90231825,25475.2777,28517.832749999998,31735.072109999994,42.56623958063052,70.043,75.375,77.399,0,0,0,"STABLE",0,12.29287906573353,0.674
"agg-4xtp4","500","777",18.548430180738734,5521.181372889234,4000,843.68751175,3727.114,3919.10355,4074.89849,13158.622904,24275.6476,26891.6849,30182.963359999994,41.508912106497945,68.123,72.878,75.458,0,0,0,"STABLE",0,12.705674673806032,0.685
"pd-1p3d-thresh16","10","123",11.501048052643565,3436.912238212598,2928,107.06739105191257,115.132,117.8483,161.08514,8023.9281458333335,13463.0522,15059.135700000003,18180.96957,26.822761140288513,32.445,33.28,34.408,0,0,2922,"STABLE",0,11.501048052643565,1
"pd-1p3d-thresh16","10","42",10.522954402282194,3203.1850191171484,2744,106.53073651603499,114.92040000000001,118.0184,161.98134000000002,8020.191676749271,13402.403000000006,15164.230549999997,17886.9831,26.31691715243553,31.917,32.888,34.335,0,0,2729,"STABLE",0,10.522954402282194,1
"pd-1p3d-thresh16","10","777",11.171613241077013,3327.2167457827645,2880,106.38614548611112,114.2148,116.67559999999999,163.88695,7829.964449305556,13003.936599999999,14647.707749999987,17554.673880000002,26.258616969482865,31.591,32.885,35.404,0,0,2871,"STABLE",0,11.171613241077013,1
"pd-1p3d-thresh16","100","123",17.125985013872562,5168.673655141781,4000,266.62388500000003,156.50990000000002,1686.2324499999995,2431.20057,14225.3446895,26594.7922,29893.423749999984,34325.08042,45.857497187528054,80.187,81.003,81.48,0,0,3996,"STABLE",0,10.72942961119116,0.6265
"pd-1p3d-thresh16","100","42",17.16565848319933,5226.998796524266,4000,257.015515,154.6451,1612.2764999999993,2283.2315599999997,14537.44481125,26823.145399999998,29929.88914999999,34132.08793999999,46.46318856552607,79.387,81.071,81.545,0,0,3994,"STABLE",0,10.166361236674804,0.59225
"pd-1p3d-thresh16","100","777",17.49746534997715,5208.348028470248,4000,262.80041424999996,186.91319999999948,1625.3253499999992,2245.80892,14031.928520500001,25867.9794,28615.666399999995,33131.767179999995,45.92857825293346,78.514,80.917,81.438,0,0,3991,"STABLE",0,10.756566823898453,0.61475
"pd-1p3d-thresh16","20","123",16.202816231553047,4882.329196815609,3844,113.30279214360041,120.643,123.0953,166.86897,9844.962013527576,16166.379000000004,18208.920299999998,21722.7266,32.67241883298844,36.826,37.905,39.231,0,0,3833,"OVERLOADED",0.0448720483690819,16.202816231553047,1
"pd-1p3d-thresh16","20","42",15.055860966560404,4582.679670167012,3620,112.33119613259669,118.4538,120.7212,201.3022199999999,9437.357290331493,15383.119999999999,17108.538199999995,20194.26954,30.995482951658577,33.93,34.712,36.229,0,0,3608,"STABLE",0,15.055860966560404,1
"pd-1p3d-thresh16","20","777",16.151462294644144,4804.525923453768,3780,115.06177936507936,119.2131,121.28305,263.8618600000003,9500.599436243387,15842.3874,17581.516749999995,20585.006630000003,31.92544432358151,36.639,37.994,40.173,0,0,3770,"STABLE",0,16.151462294644144,1
"pd-1p3d-thresh16","200","123",17.34086790575665,5233.525956561074,4000,500.65719275,1981.9866999999997,2665.6760999999988,3111.7542,14826.46125575,28738.614999999998,32551.644399999997,36245.75175999999,46.37431152781056,80.308,81.065,81.563,0,0,3997,"STABLE",0,10.738332450639804,0.61925
"pd-1p3d-thresh16","200","42",17.13436787133995,5217.470703518597,4000,446.126424,1795.0665,2601.0409499999996,2963.1701899999994,15269.892934,29115.3459,32773.01525,36336.81950999998,47.36944336922257,80.348,81.142,81.613,0,0,3995,"STABLE",0,9.993620060959026,0.58325
